,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,sector
768,house,Independent House Sector 45,9.0,38022.0,2367.0,Plot area 2367(219.9 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),12.0,12.0,3,Servant Room,4.0,North-West,0 to 1 Year Old,"['Huda city centre metro station', 'Axis bank ATM', 'State bank of india ATM', 'Icici bank ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'Axis bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'Dispencery', 'Shivam Hospital Gurgaon', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Centre For Sight Gurgaon Sector 29', 'Sukhmani Hospital Pvt. Ltd', 'Ahmed Hospital Multi Speciality', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Medanta', 'Gardian Pharmacy', 'City Medical', 'Gardian Pharmacy', 'Pernod Ricard Charitable Dispensary', 'IBP Petrol Pump', 'Bharat petroleum', 'Hdfc bank', 'Raj Restaurant', 'Fast food', 'Fast Food', 'Om Sweets', 'Bar and restaurant', 'Cafe Coffee Day', '32nd Milestone', 'Darbar', 'PWO house', 'Dhabba', 'St. Angels Jr', 'School of Inspired Leadership SOIL', 'CR Model Public School', 'Manav Rachna School', 'St. Angels Sr', 'Amity Global School', 'Salvan Public School', 'Stones2milestones', 'Manav Rachna Swimming Pool']","['3 Wardrobe', '8 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '16 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Private Garden / Terrace', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal']",sector 40
770,house,Vipul Tatvam Villa,8.2,25309.0,3240.0,Plot area 360(301.01 sq.m.),3.0,3.0,2,"Study Room,Pooja Room,Servant Room",2.0,North,5 to 10 Year Old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","['8 Fan', '1 Exhaust Fan', '3 Geyser', '12 Light', '4 TV', '1 Chimney', '5 AC', '1 Modular Kitchen', '1 Curtains', '3 Bed', '3 Wardrobe', '1 Sofa', '1 Microwave', 'No Dining Table', 'No Fridge', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",sector 48
771,house,Sector 14 RWA,5.51,16990.0,3243.0,Plot area 361(301.84 sq.m.),3.0,3.0,2,,4.0,South-West,5 to 10 Year Old,"['Sheetla Mata Mandir', 'Hanuman Mandir', 'Hsbc bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'Nagpal Nursing Home Gurgaon', 'Kalyani Hospital Gurgaon', 'Saraswati Hospital Gurgaon', 'Kishor Clinic', 'Sheetla Clinic', 'Apollo Cradle Hospital Gurgaon', 'Dr. Babita Sharma', 'Nidhi Clinic', 'Lotus Hospital Gurgaon', 'Children Hospital', 'Mamta Hospital Gurgaon', 'Dr. Tomar Clinic', 'Jeevan Jyoti Hospital Gurgaon', 'Sangwan Hospital Gurgaon', 'Ahmed Hospital Multi Speciality', 'Jackson Hospital', 'Ahooja Eye and Dental Institute Hospital', 'Dr. Sandeep Chauhan', 'Dental Health Centre', 'M Goel Hospital', 'Nova Care Clinic', 'GH Gurgaon', 'Sector-14 Market', 'Indian Oil', 'IBP Petrol Pump', 'Standard chartered bank', 'Icici bank', 'Hdfc bank', 'Oriental bank of commerce', 'Karur vysay bank', 'Catholic syrian bank', 'State bank of india sbi', 'Punjab national bank', 'Rang Parivartan', 'Cafe Coffee Day', '32nd Milestone', 'Dhabba', 'Cafe Coffee Day', 'Ardor 29', 'ADDA', 'Salvan Public School', 'Management Development Institute', 'Lieutenant Atul Kataria School', 'govt sec school', 'District library gurgaon']",,"['High Ceiling Height', 'Maintenance Staff', 'Bank Attached Property']",sector 14
772,house,,3.2,14222.0,2250.0,Plot area 250(209.03 sq.m.),3.0,3.0,2,,2.0,,10+ Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Kr Dental Hub', 'Prateek Nursing Home And Polyclinic', 'Shree Krishna Hospital Gurgaon', 'Dr. Ashok Jain', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Pearl Dental Clinic', 'Esic Hospital Gurugram', 'Sarvodya Hospital', 'Taneja Hospital', 'Gurgaon Eye Centre', 'Sneh Hospital Gurgaon', 'Aryan Hospital', 'Dr. Sindhu Clinic', 'Geeta Nursing Home Gurgaon', 'Dr. Hitesh Dawar', 'D.R. Rajnis Gupta Clinic', 'Dr. Madan Clinic', 'Ravi Clinic and Health Care Centre', 'Chiranjiv Hospital', 'Sparsh Hospital Gurgaon', 'Yashroop Medical Centre', 'Dr. Mittal Clinic', 'Dev Man Kathuria Clinic', 'Jiya Clinic', 'Bhatnagar Maternity and Nursing Home', 'Swastik Maternity and Medical Centre', ""Dr. Anurag's Child Care Clinic"", 'Bindal Clinic', 'Bhardwaj Hospital', 'Satyam Hospital Gurgaon', 'M.S Hospital', 'My Care Clinic', 'Dr. Agya Ram Sharma Clinic', 'Triveni Hospital Gurgaon', 'Dr. Sarvejeet Singh', 'GH Gurgaon', 'Shiv Mahima Patient Care Bureau', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['4 Fan', '13 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage']",sector 4
773,house,Ireo Victory Valley4.0 ★,8.0,22222.0,3600.0,Plot area 400(334.45 sq.m.),6.0,7.0,3+,"Pooja Room,Study Room,Servant Room,Store Room",3.0,North-East,5 to 10 Year Old,"['AIPL Joy Street Mall', 'Golf Course Extension Road', 'Alpine Convent School', 'DPG Institute of Technology', 'CK Birla Hospital', 'Indira Gandhi International Airport', 'iON Digital Zone (Gurugram)', 'Radisson Hotel Sohna Road', 'SkyJumper Trampoline Park', 'HUDA Mini Golf Course', 'PVR Drive in Theatre']","['6 Wardrobe', '1 Water Purifier', '1 Exhaust Fan', '5 Geyser', '1 Stove', '20 Light', '9 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 67
776,house,,5.25,11666.0,4500.0,Plot area 1944(180.6 sq.m.)Built Up area: 4650 sq.ft. (432 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9.0,9.0,3+,Servant Room,4.0,East,1 to 5 Year Old,"['Standard chartered ATM', 'Icici bank ATM', 'Meher Clinic', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Bones Clinic - Orthopaedics', 'Neelkanth Health Care', 'Sukhmani Hospital Pvt. Ltd', 'Best Urologist Atcomplete Family Clinic', 'Dr. Naresh Pandita', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dr. Anuj Sharma', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Skin Clinic', 'Divine Look Clinic Centre', 'Vatsalya Clinic', 'Dispencery', 'Medanta', 'Samvit Health Care', 'Wembley estate club', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'Pernod Ricard Charitable Dispensary', 'SPAZE BUSINESS PARK', 'India Oil', 'Hdfc bank', 'Icici bank', 'Hdfc bank', 'SRS Cinemas', 'SRS Cinemas', 'Haldiram', 'India', 'Madison and Pike', ""Domino's Pizza"", 'KFC', 'Raj Restaurant', ""Nirula's"", 'Delhi Public School Primary Section', 'Gurugram University', 'Kamla International', 'Amity Global School', 'Manav Rachna School', 'St. Angels Sr', 'CR Model Public School', 'Manav Rachna Swimming Pool']","['12 Fan', '9 Geyser', '17 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 47
778,house,Bestech Park View Ananda4.2 ★,4.35,7937.0,5481.0,Plot area 5480(509.11 sq.m.),4.0,4.0,3,"Store Room,Servant Room",2.0,North,1 to 5 Year Old,"['Metro Station Kankrola sec 87', 'Sapphire 83 Mall', 'Dwarka Expressway', ""St. Xavier's High School"", 'Miracles Apollo Cradle /Spectra Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Heritage Village Resort & Spa', 'SkyJumper Trampoline Park', 'National Tennis Academy']",,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Separate entry for servant room', 'Bank Attached Property', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",sector 81
780,house,,2.99,20635.0,1449.0,Plot area 161(134.62 sq.m.),4.0,4.0,2,"Pooja Room,Study Room,Servant Room",2.0,South,5 to 10 Year Old,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Sanatan Dharm Mandir', 'Radhakrishna Shani Mandir', 'State bank ATM', 'Icici bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Arunodaya Deseret Eye Hospital', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Intellion Park', 'International Tech Park', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank and atm', 'State bank of india', 'Kotak mahindra bank', 'Indusind bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', 'Hdfc bank', '222', 'Pizza Hut', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Clock tower', 'Starbucks', ""Carl's Jr."", 'Cafe Tonini', 'Sagar Ratna', 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Suncity School']","['3 Wardrobe', '7 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '10 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",sector 56
785,house,Eros Rosewood Villas,2.8,15555.0,1800.0,Plot area 1530(142.14 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3.0,3.0,3,Pooja Room,2.0,East,5 to 10 Year Old,"['Sri Radhe Krishna Temple', 'Standard chartered ATM', 'Icici bank ATM', 'Divine Look Clinic Centre', 'Skin Clinic', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Bones Clinic - Orthopaedics', 'Vatsalya Clinic', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Neelkanth Health Care', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Meher Clinic', 'Ekta Hospital', 'Sai Heart and Trauma Center', 'Sanjeevani Hospital Gurgaon', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sai Dharamraj Hospital', 'Wembley estate club', 'Genius', 'Gardian Pharmacy', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Kore Tech Park', 'Unitech', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', 'Icici bank', 'Central bank of india', 'Union bank of india', 'State bank of india', 'Hdfc bank', 'SRS Cinemas', 'India', 'Starbucks', 'Nook', ""Nirula's"", ""Domino's Pizza"", 'Madison and Pike', 'Haldiram', 'Kamla International', 'Gurugram University']","['3 Wardrobe', '4 Fan', '4 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']",sector 49
786,house,Eros Rosewood Villas,2.5,13513.0,1850.0,Plot area 1530(142.14 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3.0,3.0,2,"Pooja Room,Store Room",2.0,East,5 to 10 Year Old,"['Sri Radhe Krishna Temple', 'Standard chartered ATM', 'Icici bank ATM', 'Divine Look Clinic Centre', 'Skin Clinic', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Bones Clinic - Orthopaedics', 'Vatsalya Clinic', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Neelkanth Health Care', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Meher Clinic', 'Ekta Hospital', 'Sai Heart and Trauma Center', 'Sanjeevani Hospital Gurgaon', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sai Dharamraj Hospital', 'Wembley estate club', 'Genius', 'Gardian Pharmacy', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Kore Tech Park', 'Unitech', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', 'Icici bank', 'Central bank of india', 'Union bank of india', 'State bank of india', 'Hdfc bank', 'SRS Cinemas', 'India', 'Starbucks', 'Nook', ""Nirula's"", ""Domino's Pizza"", 'Madison and Pike', 'Haldiram', 'Kamla International', 'Gurugram University']","['3 Wardrobe', '6 Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Low Density Society', 'Waste Disposal']",sector 49
787,house,Eros Rosewood City4.0 ★,4.05,20769.0,1950.0,Plot area 1710(158.86 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),3.0,3.0,3,"Servant Room,Store Room",2.0,East,5 to 10 Year Old,"['Sri Radhe Krishna Temple', 'Standard chartered ATM', 'Icici bank ATM', 'Divine Look Clinic Centre', 'Skin Clinic', 'Vatsalya Clinic', 'Bones Clinic - Orthopaedics', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Neelkanth Health Care', 'Vishesh Dental', 'Meher Clinic', 'Park Hospital Gurgaon', 'Ekta Hospital', 'Sai Heart and Trauma Center', 'Sanjeevani Hospital Gurgaon', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sai Dharamraj Hospital', 'Wembley estate club', 'Genius', 'Gardian Pharmacy', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Kore Tech Park', 'Unitech', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', 'Icici bank', 'Central bank of india', 'Union bank of india', 'State bank of india', 'Hdfc bank', 'SRS Cinemas', 'India', 'Madison and Pike', 'Starbucks', 'Nook', ""Nirula's"", ""Domino's Pizza"", 'Haldiram', 'Kamla International', 'Gurugram University']","['3 Wardrobe', '6 Fan', '3 Geyser', '5 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Security Personnel', 'Low Density Society', 'Waste Disposal']",sector 49
790,house,Emaar MGF Marbella,11.0,33951.0,3240.0,Plot area 360(301.01 sq.m.),5.0,6.0,3+,"Pooja Room,Study Room,Servant Room,Store Room",2.0,North-East,0 to 1 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 48', 'Hasanpur', 'Gurugram University', 'Delhi Public School', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['4 Wardrobe', '7 Fan', '1 Fridge', '1 Exhaust Fan', '5 Geyser', '1 Stove', '10 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 66
791,house,International City by SOBHA Phase 2,8.75,24306.0,3600.0,Plot area 400(334.45 sq.m.),5.0,5.0,3+,"Pooja Room,Servant Room,Study Room,Store Room",3.0,North-East,0 to 1 Year Old,"['Dwarka Sector 21 Metro Station', 'Pacific D21 Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Aryan Hospital', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station']","['5 Wardrobe', '7 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '1 Microwave', '10 Light', '1 Modular Kitchen', '6 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 109
797,house,Satya The Legend3.8 ★,9.25,16577.0,5580.0,Plot area 642(536.79 sq.m.)Built Up area: 630 sq.yards (526.76 sq.m.)Carpet area: 620 sq.yards (518.4 sq.m.),5.0,5.0,3+,"Study Room,Servant Room,Pooja Room,Store Room",4.0,North-East,1 to 5 Year Old,"['HDFC Bank ATM', 'ICICI Bank ATM', 'YES Bank ATM', 'Axis Bank ATM', 'Indusind bank ATM', 'CK Birla Hospital', 'Suryadeep Hospital', 'Park Hospital', 'W Pratiksha Hospital', 'Cloudnine Hospital', 'Garari', 'Dreamz Cafe', 'Culinary Blend', 'Delectable Cafe', 'Dana Choga']","['1 Water Purifier', '9 Fan', '1 Exhaust Fan', '6 Geyser', '44 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",sector 57
798,house,,5.65,17706.0,3191.0,Plot area 342(285.96 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),7.0,7.0,3+,"Pooja Room,Servant Room",2.0,West,5 to 10 Year Old,"['HUDA Sector 23 Market', 'Palam triangle', 'Palam Vihar Vyapar kendra', 'Ram Mandir', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', 'SP Infocity', 'HUDA sector 23 parking', 'Ansals Plaza above ground car parking', 'Ansals plaza underground car parking', 'Punjab national bank', 'Oriental bank of commerce', 'Axis bank', 'Big Cinemas', 'Om Sweets', 'Pind Baluchi', ""Domino's Pizza"", 'Moti Mahal', 'Pizza Hut', 'Cafe Coffee Day', ""McDonald's"", 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Masti ki Pathshala Teach India', 'Chiranjiv Bharati School', 'Palam vihar railway station', 'Bijwasan railway station']","['2 Fan', '2 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Private Garden / Terrace', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Waste Disposal', 'Rain Water Harvesting']",sector 23
804,house,Vipul Tatvam Villa,8.25,38194.0,2160.0,Plot area 350(292.64 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),4.0,4.0,3+,"Servant Room,Store Room",3.0,North-East,1 to 5 Year Old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","['1 Water Purifier', '11 Geyser', '1 Stove', '8 Light', '8 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",sector 48
806,house,Suncity Township4.1 ★,25.0,31111.0,8036.0,Plot area 1000(836.13 sq.m.),4.0,4.0,3+,"Study Room,Pooja Room,Servant Room,Store Room",2.0,North,5 to 10 Year Old,"['Sector 54 chowk metro station', 'Sector metro station', 'Sector metro station', 'Sector 53-54 metro station', 'Sanatan Dharm Mandir', 'Radhakrishna Shani Mandir', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'State bank ATM', 'Icici bank ATM', 'Arunodaya Deseret Eye Hospital', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Paras Hospital Gurgaon', 'HUDA Office Complex', 'Apollo Pharmacy', 'Medisca', 'Intellion Park', 'HCG CNG Station', 'Heera Fuel Station', 'State bank of india', 'Indusind bank', 'Kotak mahindra bank', 'Icici bank', 'Hdfc bank', 'Axis bank', 'Hdfc bank & atm', 'Hdfc bank and atm', '222', 'Bikanerwala', 'Wat-a-Burger', 'Burger Singh', 'Naivedyam Restaurant', 'Clock tower', 'Pizza Hut', 'Starbucks', ""Carl's Jr."", 'Cafe Tonini', 'Shophouse by Kylin', 'Sagar Ratna', 'Iilm University', 'IILM', 'Sushant College of Arts & Architecture', 'Suncity School', 'Ansal Institute of Technology']",,,sector 54
